	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
0	9	-0.118	0.066	2.638	2.635	0.002
1	19	-0.123	0.062	2.638	2.635	0.002
2	29	-0.127	0.058	2.638	2.634	0.002
3	39	-0.129	0.055	2.638	2.633	0.002
4	49	-0.132	0.053	2.638	2.629	0.002
5	59	-0.134	0.051	2.638	2.621	0.002
6	69	-0.137	0.049	2.637	2.603	0.001
7	79	-0.139	0.047	2.634	2.573	0.001
8	89	-0.142	0.045	2.631	2.545	0.001
9	99	-0.144	0.044	2.629	2.524	0.001
10	109	-0.145	0.042	2.627	2.507	0.001
11	119	-0.147	0.041	2.626	2.494	0.001
12	129	-0.149	0.039	2.625	2.483	0.001
13	139	-0.15	0.038	2.623	2.473	0.001
14	149	-0.151	0.037	2.623	2.464	0.001
15	159	-0.153	0.036	2.622	2.46	0.001
16	169	-0.154	0.035	2.621	2.452	0.001
17	179	-0.155	0.034	2.62	2.443	0.001
18	189	-0.156	0.033	2.62	2.439	0.001
19	199	-0.157	0.032	2.619	2.433	0.001
20	209	-0.158	0.031	2.62	2.43	0.001
21	219	-0.159	0.03	2.618	2.422	0.001
22	229	-0.16	0.03	2.619	2.419	0.001
23	239	-0.16	0.029	2.618	2.412	0.001
24	249	-0.161	0.028	2.619	2.41	0.001
25	259	-0.162	0.028	2.618	2.404	0.001
26	269	-0.163	0.027	2.618	2.4	0.001
27	279	-0.163	0.027	2.618	2.394	0.001
28	289	-0.164	0.026	2.618	2.392	0.001
29	299	-0.165	0.026	2.618	2.386	0.001
30	309	-0.165	0.025	2.619	2.381	0.001
31	319	-0.166	0.025	2.619	2.376	0.001
32	329	-0.167	0.024	2.618	2.365	0.001
33	339	-0.167	0.024	2.62	2.365	0.001
34	349	-0.168	0.023	2.62	2.356	0.001
35	359	-0.169	0.023	2.62	2.344	0.001
36	369	-0.169	0.023	2.621	2.336	0.001
37	379	-0.17	0.022	2.621	2.323	0.001
38	389	-0.171	0.022	2.621	2.308	0.001
39	399	-0.172	0.022	2.62	2.284	0.001
40	409	-0.173	0.022	2.621	2.261	0.001
41	419	-0.174	0.021	2.619	2.232	0.001
42	429	-0.175	0.021	2.619	2.198	0.001
43	439	-0.176	0.021	2.618	2.16	0.002
44	449	-0.178	0.021	2.616	2.112	0.002
45	459	-0.179	0.02	2.615	2.066	0.002
46	469	-0.181	0.02	2.614	2.015	0.002
47	479	-0.182	0.02	2.613	1.961	0.002
48	489	-0.184	0.02	2.612	1.905	0.003
49	499	-0.186	0.02	2.611	1.852	0.003
50	509	-0.187	0.02	2.61	1.797	0.003
51	519	-0.189	0.019	2.609	1.745	0.003
52	529	-0.19	0.019	2.609	1.702	0.003
53	539	-0.192	0.019	2.61	1.663	0.004
54	549	-0.193	0.019	2.611	1.627	0.004
55	559	-0.194	0.019	2.612	1.592	0.004
56	569	-0.196	0.019	2.613	1.566	0.004
57	579	-0.197	0.018	2.615	1.535	0.004
58	589	-0.198	0.018	2.616	1.511	0.004
59	599	-0.199	0.018	2.617	1.486	0.004
60	609	-0.2	0.018	2.618	1.464	0.005
61	619	-0.201	0.018	2.619	1.443	0.005
62	629	-0.201	0.018	2.621	1.423	0.005
63	639	-0.202	0.018	2.621	1.404	0.005
64	649	-0.203	0.018	2.622	1.385	0.005
65	659	-0.204	0.017	2.622	1.365	0.005
66	669	-0.204	0.017	2.623	1.351	0.006
67	679	-0.205	0.017	2.622	1.336	0.006
68	689	-0.205	0.017	2.622	1.316	0.006
69	699	-0.206	0.017	2.623	1.304	0.006
70	709	-0.206	0.017	2.622	1.291	0.006
71	719	-0.207	0.017	2.623	1.277	0.006
72	729	-0.207	0.017	2.622	1.262	0.006
73	739	-0.208	0.017	2.622	1.251	0.006
74	749	-0.208	0.017	2.623	1.237	0.006
75	759	-0.209	0.017	2.621	1.227	0.007
76	769	-0.209	0.016	2.621	1.214	0.007
77	779	-0.209	0.016	2.621	1.204	0.007
78	789	-0.21	0.016	2.621	1.195	0.007
79	799	-0.21	0.016	2.62	1.188	0.007
80	809	-0.21	0.016	2.62	1.173	0.007
81	819	-0.21	0.016	2.619	1.167	0.008
82	829	-0.211	0.016	2.62	1.158	0.008
83	839	-0.211	0.016	2.62	1.149	0.007
84	849	-0.212	0.016	2.62	1.14	0.007
85	859	-0.212	0.016	2.62	1.133	0.008
86	869	-0.212	0.016	2.621	1.125	0.007
87	879	-0.212	0.016	2.619	1.113	0.008
88	889	-0.213	0.016	2.619	1.107	0.008
89	899	-0.213	0.016	2.619	1.099	0.008
90	909	-0.213	0.016	2.618	1.091	0.008
91	919	-0.214	0.016	2.618	1.081	0.008
92	929	-0.214	0.016	2.617	1.071	0.009
93	939	-0.214	0.016	2.618	1.064	0.009
94	949	-0.214	0.015	2.617	1.051	0.009
